Country Name,Country Code,62-67,67-72,72-77,77-82,82-87,87-92,92-97,97-02,02-07,07-12,12-17
Aruba,ABW,48.0,738.0,-1933.0,3549.0,-3273.0,19412.0,-7292.0,-663.0,-6704.0,1694.0,-249.0
Africa Eastern and Southern,AFE,24249.0,134790.0,-31429.0,-271188.0,355291.0,806891.0,-1872973.0,260386.0,-494092.0,35720.0,620650.0
Afghanistan,AFG,0.0,0.0,-1133959.0,-2191136.0,1819744.0,4601734.0,-3943923.0,1611733.0,-1790554.0,1568130.0,-836371.0
Africa Western and Central,AFW,-110180.0,-216418.0,7295.0,-650135.0,-53321.0,-42284.0,802542.0,-236659.0,-315977.0,-749361.0,578993.0
Angola,AGO,-290569.0,787086.0,0.0,34348.0,-45657.0,-45679.0,56988.0,61300.0,96201.0,-191034.0,-134201.0
Albania,ALB,0.0,0.0,0.0,0.0,0.0,-443113.0,263606.0,2832.0,-40584.0,80768.0,66592.0
Arab World,ARB,-335321.0,-85723.0,2565836.0,-1147021.0,-1060561.0,306785.0,-1483676.0,1922703.0,3576822.0,-3712807.0,-1456053.0
United Arab Emirates,ARE,15941.0,206665.0,111942.0,-188271.0,72479.0,111488.0,130268.0,691222.0,2402820.0,-3322436.0,-70000.0
Argentina,ARG,8000.0,12000.0,-372000.0,370000.0,20000.0,-265000.0,-23000.0,3000.0,5000.0,150000.0,-6000.0
Armenia,ARM,33064.0,-16995.0,-69190.0,-68444.0,-16298.0,-428760.0,272415.0,63352.0,-22840.0,152826.0,5546.0
Antigua and Barbuda,ATG,678.0,-5816.0,2590.0,665.0,873.0,5121.0,238.0,-2217.0,1635.0,-944.0,-943.0
Australia,AUS,421850.0,-546662.0,-23787.0,217828.0,200637.0,-303131.0,37341.0,200863.0,621520.0,-221427.0,-198146.0
Austria,AUT,34405.0,31600.0,-76499.0,12500.0,92997.0,116842.0,-162759.0,113035.0,-24354.0,113409.0,57826.0
Azerbaijan,AZE,-40000.0,-10466.0,0.0,-51102.0,-60000.0,46452.0,3267.0,148372.0,17056.0,-45080.0,-2497.0
Burundi,BDI,27089.0,-208596.0,116206.0,11144.0,-40858.0,-139997.0,-135303.0,430583.0,54725.0,-100005.0,80004.0
Belgium,BEL,8984.0,23692.0,2543.0,-55045.0,24078.0,64391.0,-56077.0,168690.0,74710.0,-35598.0,-18672.0
Benin,BEN,553.0,-1103.0,5452.0,8545.0,2125.0,76982.0,-71110.0,27856.0,-73781.0,6508.0,32268.0
Burkina Faso,BFA,0.0,-25540.0,-47137.0,0.0,33701.0,33698.0,12502.0,12499.0,0.0,0.0,0.0
Bangladesh,BGD,-19444.0,-2883465.0,1907943.0,343518.0,574463.0,-594431.0,93895.0,-772638.0,-1762241.0,947939.0,459336.0
Bulgaria,BGR,-4986.0,-36973.0,-51472.0,72522.0,-161797.0,-172321.0,222640.0,48324.0,1758.0,59270.0,471.0
Bahrain,BHR,-3838.0,27156.0,29839.0,-45728.0,9665.0,-7419.0,33700.0,116320.0,116500.0,-230000.0,197000.0
"Bahamas, The",BHS,56.0,-12980.0,2032.0,-2335.0,-1457.0,489.0,-2679.0,14878.0,2659.0,-9537.0,0.0
Bosnia and Herzegovina,BIH,-46956.0,14711.0,8115.0,44133.0,-104588.0,-606128.0,581432.0,153283.0,-53246.0,-199283.0,150603.0
Belarus,BLR,190972.0,-28439.0,1152.0,8816.0,-70135.0,-40036.0,119203.0,-62528.0,70315.0,8190.0,-28475.0
Belize,BLZ,-539.0,-7708.0,-2877.0,8210.0,-72.0,-3607.0,20920.0,-6112.0,2925.0,-1128.0,-1594.0
Bolivia,BOL,-2390.0,-3470.0,-13510.0,-33540.0,9410.0,12590.0,-12660.0,-13390.0,10020.0,10080.0,10100.0
Brazil,BRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15924.0,90076.0
Barbados,BRB,4283.0,6743.0,1386.0,-2308.0,1545.0,918.0,1750.0,455.0,2939.0,-148.0,0.0
Brunei Darussalam,BRN,4421.0,43.0,-2593.0,-4671.0,62.0,1086.0,-582.0,-3766.0,-2679.0,1356.0,901.0
Bhutan,BTN,5000.0,1.0,15.0,-9219.0,798.0,-60160.0,58708.0,6028.0,-17142.0,11271.0,1300.0
